$~4*      IN THE HIGH COURT OF DELHI AT NEW DELHI+                 CRL A 1308/2015 & CRL M (B) 8293/2015       X                                                     ..... Appellant                         Through:       Mr. Harsh Prabhakar, Advocate                                        (DHCLSC) with Mr. Salman Hashmi                                        and Mr. Anirudh Tanwar, Advocates.                               versus       STATE OF NCT OF DELHI                              ..... Respondent                     Through:           Ms. Kusum Dhalla, APP along with                                        Inspector Prashant Yadav, PS Jagat                                        Puri       CORAM:       JUSTICE S. MURALIDHAR       JUSTICE I.S. MEHTA                               JUDGMENT%                               20.11.2017	PREAMBLE
However, in the present case, as is evident from the latest report dated 9th October 2017 of the doctors at IHBAS, although the Appellant is stable and does not require to be hospitalised, he is not „out of the woods‟ and requires regular treatment‟ and periodic follow up.	ANALYSIS
The Appellant will need assistance in this.	RATIO
It could be by anyone interested in the welfare and well-being of the Appellant.	ANALYSIS
Mr.Harsh Prabhakar, learned counsel appearing for the Appellant informs the Court that one of the younger siblings of the Appellant has been visiting him in the jail on a regular basis.	RATIO
54. The Court, accordingly, issues the following directions: (i) The Appellant shall be released forthwith, subject to his complying with the requirements of Section 437A Cr PC. (ii) For the above purpose, the matter will be placed before the trial Court on 27th November 2017. (iii) Considering the special facts and circumstances of the case as noted hereinbefore, the trial Court will, while ensuring compliance by the Appellant with the requirement of Section 437 A Cr PC, require that the surety provided is of a person (who may or may not be a close relative) who will additionally undertake that the Appellant will go to IHBAS for regular checks and follow up and continue to receive treatment under the close supervision of the mental health professionals there or at some other renowned facility for as long as the said mental health professionals consider necessary.	RPC
 (iv) The Delhi State Legal Services Authority (DLSA) will extend assistance to the Appellant in regard to the above directions.	RPC
The Secretary DLSA will depute a panel counsel to be present on behalf of the Appellant before the trial Court on 27th November 2017 for the above purpose.	RPC
 55. The appeal is allowed in the above terms.	RPC
The application is disposed of.	RPC
The Court records its appreciation of the excellent background research, preparation and able presentation of the case by Mr. Harsh Prabhakar, learned Counsel for the DHCLSC and the fair stand of Ms. Kusum Dhalla, learned APP as an officer of the Court.	NONE
 56. A certified copy of this order will be delivered by a Special Messenger of the Registry forthwith for compliance to: (i) the trial Court together with the trial Court record; (ii) the Superintendent, Tihar Jail; (iii) the Secretary, DLSA; and (iv) The Medical Superintendent, IHBAS.	NONE
 S. MURALIDHAR, J. I.S. MEHTA, J.NOVEMBER 20, 2017 rd	NONE
